AO-nr.;AO-type;Oppgave/feilbeskrivelse;Reg.nr.;Utstyrsgruppe;Modell;Seneste PV;Neste PV;Oppdatert;Oppdatert av Sign;Reg. dato;Ferdig;Sign;Teknisk beskrivelse;Plassering (utstyr);Gruppe;Kundekode;Kunde;Sak;Kundetekst;Totalt;Nedetid;Plassering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST006825;Normal/Akutt;Låse hendelen for sirkelblokken med kalkfilter var knekt.;006897;Anestesi, arbeidsstasjon, ordinær;8601110;24.06.2011;;;;21.08.2000;21.08.2000;Bjarte Nærland (nebj);Satte på ny låse hendel.;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;115114;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;0,00;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST007109;Normal/Akutt;Stopper opp i selvtest (ved sjekk av friskgassventiler).;007049;Anestesi, arbeidsstasjon, ordinær;8601110;24.06.2011;;;;11.10.2000;11.10.2000;Morten Ruud (rumo);"Notert feilmelding MA 0020 SW 0000.
Demontert/montert sirkelblokk.  
Kjørt selvtest 3 ganger; alt OK alle gangene.
Etter å ha snakket med Tore i Bergen, godkjente vi apparatet for bruk.";"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;115114;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;0,00;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST007142;Normal/Akutt;Under self testen fikk en feilmelding om at gassanalysatoren ikke virket. Kontaktet Drager som kommer og ser på apparatet.;007049;Anestesi, arbeidsstasjon, ordinær;8601110;24.06.2011;;;;20.10.2000;20.10.2000;Bjarte Nærland (nebj);Tore har skiftet gass målebenken, som han mener kan være årsaken til problemet.  Avdelingen får prøve apparatet nå og se om det er i orden.;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;115114;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;0,00;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST007145;Normal/Akutt;Når pasienten var intubert og tilkoblet sluttet gassanalysatoren å virke. personalet skiftet slange , men det hjalp ikke.Etter en stund virket gassanalysatoren på Julian igjenn, men det var helt andre verdier her en på datexen. Skiftet så kalk filter og da forsvant alle verdier og de kom ikke tilbake. Personalet har testet apparatet flere ganger etterpå og da virker gassanalysatoren. Har kontaktet Tore i Drager for videre...................;007049;Anestesi, arbeidsstasjon, ordinær;8601110;24.06.2011;;;;23.10.2000;03.01.2001;Bjarte Nærland (nebj);Sendte apparatet inn til Drager for service. Firma skiftet gassbenk (IRIA). Testet av firma og funnet ok.;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;115114;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;1 727,00;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST007439;Normal/Akutt;Oksygensensor;007057;Anestesi, arbeidsstasjon, ordinær;8601110;24.06.2011;;;;02.01.2001;03.01.2001;* Originale data (!SYS);Byttet brenselcelle oksygen.;"Seksjon Øst ; Anestesisykepleie ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;4204942;"Seksjon Øst ; Anestesisykepleie ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;0,00;"Seksjon Øst ; Anestesisykepleie ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST007469;Normal/Akutt;Problemer med feilmeldinger og svart skjerm et øyeblikk. Skiftet O2-celle. Testet OK. Må sjekkes nærmere.;007057;Anestesi, arbeidsstasjon, ordinær;8601110;24.06.2011;;;;04.01.2001;04.01.2001;Rune Otto Andreassen (ANRO);"Problemene begynte med høyt luftveistrykk og melding PAW (). Dette hadde visstnok bakgrunn i vanskelig pasient. Deretter fikk de problemer med svart skjerm og system error og nødkjøring med friskgass. Kjørte test og fikk så kun O2 inop. Skiftet brenselcelle O2 (Denne har stått i maskinen max 1 mnd) og ny test utført: OK!
Tatt ut feil-logg og kontaktet firma. Siden vi ikke får frem feil nå, avventer vi nærmere beskjed fra firma, evt ny feil.";"Seksjon Øst ; Anestesisykepleie ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;4204942;"Seksjon Øst ; Anestesisykepleie ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;250,00;5,00;"Seksjon Øst ; Anestesisykepleie ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST007553;Normal/Akutt;O2-INOP.;006897;Anestesi, arbeidsstasjon, ordinær;8601110;24.06.2011;;;;10.01.2001;10.01.2001;Rune Otto Andreassen (ANRO);Avdelingen (Torfinn) skiftet selv O2-cellen. Garanti.;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;115114;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;125,00;0,00;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST007574;Normal/Akutt;Oksygen celle oppbrukt.;007050;Anestesi, arbeidsstasjon, ordinær;8601110;24.06.2011;;;;24.01.2001;24.01.2001;Morten Ruud (rumo);Oksygencelle byttet;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;115114;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;0,00;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST007604;Normal/Akutt;"App. ble svart, gikk så over til nødgass etter 15 sek.
Ved ny oppstart fikk vi feilmelding  ved selvtesat 28:  MA 0032 og SW 0032.  Ny oppstart ga feil ved selvtest 7 og 8: MA 0008 og SW 0000.";007263;Anestesi, arbeidsstasjon, ordinær;8601110;01.06.2012;;;;29.01.2001;29.01.2001;Morten Ruud (rumo);Tore:  Funnet feil med sensor Psys.  Viser 250 mb konstant.  Skiftet sensor og testet system flere ganger .  OK;"Eigersund kirurgisk pol. ; Helse Stavanger HF ; Helse Vest RHF";;115114;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;0,00;"Eigersund kirurgisk pol. ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST007753;Normal/Akutt;Oppheng fra anestesiapp til søyle løst;007056;Anestesi, arbeidsstasjon, ordinær;8601110;;;;;06.03.2001;07.03.2001;Bjarte Nærland (nebj);Strammet bremsen på det nederste leddet på søylen. 4 umbrako skruer som sitter der. Etter det var avd. tilfreds med søylen.;"Seksjon Øst ; Anestesisykepleie ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;4204942;"Seksjon Øst ; Anestesisykepleie ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;21,00;"Seksjon Øst ; Anestesisykepleie ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST007925;Normal/Akutt;Får opp melding om O2 error.;007050;Anestesi, arbeidsstasjon, ordinær;8601110;24.06.2011;;;;02.04.2001;02.04.2001;Bjarte Nærland (nebj);Avdelingen skiftet O2 cellen, men fikk fortsatt opp feilmelding om O2 error. Tok å kalibrerte O2 på nytt og da ble alt ok. Problemer med den nye cellen kan ha vært at en kalibrerte før cellen var kvitt konverserings  gassen som den lå i. Dersom problemet oppstår i gjenn bør en vente ca. 10 min også kalibrere O2 igjenn. Denne kalibrerings rutinen kan gjennomføres mens apparatet er i drift. En bør også gå inn i service menyen og sjekke elektrode spenningen på O2 cellen. Dette kan bare gjørs når apparatet står i stand by mode.;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;115114;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;0,00;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
