AO-nr.;AO-type;Oppgave/feilbeskrivelse;Reg.nr.;Utstyrsgruppe;Modell;Seneste PV;Neste PV;Oppdatert;Oppdatert av Sign;Reg. dato;Ferdig;Sign;Teknisk beskrivelse;Plassering (utstyr);Gruppe;Kundekode;Kunde;Sak;Kundetekst;Totalt;Nedetid;Plassering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST005162;Normal/Akutt;Output error, feildosering.;004394;Diatermi, universal, komplett;10128;;;;;15.04.1999;26.04.1999;Morten Ruud (rumo);"Utført prosedyre for forebyggende vedlikehold. :  Repitissjonsfrekvens viste 35; byttet derfor potmeter TP17, og justerte inn.  Ellers var frontpanelet litt oppskrapet, uten at det gjør noe ennå.  Sikkerhetstestet: OK";"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;114393;"Dagkirurgi SYD ; Operasjonsavdeling ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;0,00;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST005163;Normal/Akutt;Feildosering Output Error på Cut, ej på Coag.;004029;Diatermi, universal, komplett;10128;18.04.2000;;;;26.04.1999;26.04.1999;Morten Ruud (rumo);"Utfør prosedyre: Nytt feste til tralle.  Justert TP9; NESSY.  Ellers fant jeg ingenting gale.  Sikkerhetstestet: OK";"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;4204466;"Sentraloperasjon 1 ; Operasjonsavdeling ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;0,00;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST005164;Normal/Akutt;Error 48.;004397;Diatermi, universal, komplett;10128;;;;;23.04.1999;26.04.1999;Morten Ruud (rumo);Ringt firma ang. feilmedling 48 som sier HF current sensor defective.  Hvis apparatet gikk igjennom en vanllig sjekk skulle vi bare ta det i bruk igjen.  Utfør prosedyre: Manglet et feste til tralle, som ble montert.  Juster TP9 NESSY.  Sikkerhetstestet . Alt fungerte som det skulle.;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;114393;"Dagkirurgi SYD ; Operasjonsavdeling ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;0,00;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST005192;Normal/Akutt;Virket plutselig ikke under bruk.  Byttet tilbehør, og alt virket ok.  Kontaktproblemer bak;004396;Diatermi, universal, komplett;10128;;;;;06.05.1999;06.05.1999;Morten Ruud (rumo);Brudd i pedal.  Skjøtet inne i pedalen.  Foretatt forebyggende vedlikehold/kontroll.  Justert NESSY.  Ellers alt OK.;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;114393;"Dagkirurgi SYD ; Operasjonsavdeling ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;0,00;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST000395;Normal/Akutt;;001069;Diatermi, universal, komplett;Surgistat;;;;;21.12.1995;21.12.1995;Rune Otto Andreassen (ANRO);GIR DÅRLIG KONTAKT   TESTET. ALT OK!;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;5-1;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;0,00;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST001039;Normal/Akutt;;001382;Diatermi, universal, komplett;Surgistat;;;;;12.04.1995;12.04.1995;Rune Otto Andreassen (ANRO);"LYSER IKKE PÅ KOAG. NÅR DENNE BLIR AKTIVERT. APPARAT FUNGERER ELLERS FINT.    
KRETSKORT VAR LØSNET LITT. FIKK IKKE SKIKKELIG KONTAKT FESTET KORTET --> OK!  
FUNKSJONS- OG SIKKERHETSTEST --> OK! ( OBS!:KURVEFORM PÅ CUT HADDE NOEN SMÅ   
FORSTYRRELSER/ SPIKES, SELV UTEN EFFEKT INNSTILT. OBSERVER VED SENERE         
ANLEDNING/TEST.)";"MTI MU mulig kassert ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;193;"MTI MU mulig kassert ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;0,00;"MTI MU mulig kassert ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST001510;Normal/Akutt;;001981;Diatermi, universal, komplett;Surgistat;;;;;13.02.1990;13.02.1990;Rune Aalberg (aaruau);"ALARMER I PASIENTKRETSEN.  UTBEDRET BRUDD I ADAPTERKABEL FOR BIPOLAR          
PASIENTPLATE";"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;5-1;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;1,00;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST001511;Normal/Akutt;;001981;Diatermi, universal, komplett;Surgistat;;;;;01.01.1980;01.01.1980;* Originale data (!SYS);"GAV ALTFOR LITE EFFEKT UT.  REPARERT HOS MED. UTS., BYTTET EFFEKTKORT.        
SIKKERHETS OG FUNKSJONSTESTET VED MTA.";"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;5-1;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;0,00;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST001512;Normal/Akutt;;001981;Diatermi, universal, komplett;Surgistat;;;;;01.01.1980;01.01.1980;Rune Aalberg (aaruau);"HELT DØDT APPARAT PGA. BRUDD NETTLEDNING.  KLIPPET AV EN DEL AV KABELEN OG    
SKIFTET NETTSTØPSEL.";"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;5-1;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;0,00;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST001513;Normal/Akutt;;001981;Diatermi, universal, komplett;Surgistat;;;;;27.09.1990;27.09.1990;Rune Aalberg (aaruau);PIPER VED BIPOLAR MODUS  SKIFTET PLUGG-ADAPTER FOR BRUK AV BIPOLAR MODUS.;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;5-1;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;6,00;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
