AO-nr.;AO-type;Oppgave/feilbeskrivelse;Reg.nr.;Utstyrsgruppe;Modell;Seneste PV;Neste PV;Oppdatert;Oppdatert av Sign;Reg. dato;Ferdig;Sign;Teknisk beskrivelse;Plassering (utstyr);Gruppe;Kundekode;Kunde;Sak;Kundetekst;Totalt;Nedetid;Plassering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST000123;Normal/Akutt;;000813;Ventilator, intensiv, voksen/barn;E037E-SV 900;;;;;20.09.1990;20.09.1990;* Originale data (!SYS);"PERIODISK FEIL I STEPMOTOR, BLIR STÅENDE I STENGT POS. SLIK AT RESPIRASJON    
HINDRES BYTTET DEFEKT STEPMOTOR SOM HADDE EN NOE ANNEN KARAK- TERISTIKK ENN   
DE NYE. FUNKSJONS OG SIKKERHETSKONTR. FUNNET OK.  NB. LITT VEL MYE            
TRAFO-DUR, UTEN AT NOE ER GJORT MED DETTE. RESPIRATOREN GIR HELLER IKKE UT  
INSP.TIME OG EKSP. TIME PÅ BØSSINGENE TIL TILLEGGSUTSTYR BAK PÅ APP           
APP.PLASSERT PÅ CT, DVS IKKE BRUK FOR FORSTØVER.";"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;5-1;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;0,00;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST005153;Normal/Akutt;inoperativ;003568;Ventilator, intensiv, barn/nyfødte;BP 2001 BV 143;;;;;21.09.1997;21.04.1999;Rune Aalberg (aaruau);Produsenten foretatt liten service på enheten.;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;5-1;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;14 232,00;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST005190;Normal/Akutt;Viser feil utandat min. volum.;001074;Ventilator, intensiv, voksen/barn;E347E SV 900C;28.08.1997;;;;03.05.1999;03.05.1999;* Originale data (!SYS);Skiftet eksp. flowsensor, testet og funnet ok.;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;5-1;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;0,00;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST005191;Normal/Akutt;App. er ikke ok. Ved bruk på pasient kan det virke som den lekker (3-4 liter). Når den står og går en stund uten å være tilkoplet pasient innstilt på 7,5 liter, gir den 9-10 lliter. Det virker da som den bygger seg opp. Ved vanlig sjekk uten at den står og går over tid, da ser alt OK ut.;001073;Ventilator, intensiv, voksen/barn;E037E-SV 900B;;;;;06.05.1999;11.05.1999;* Originale data (!SYS);Kalibrert ventilatoren, og da måtte det noen små justeringer til. Etterpå lot vi den stå og gå over lengre tid, og da virket den tilfredsstillende. Håper det kun var de små justeringene som forårsaket feilen.;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;5-1;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;1 500,00;144,00;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST000399;Normal/Akutt;;001073;Ventilator, intensiv, voksen/barn;E037E-SV 900B;;;;;27.11.1991;27.11.1991;Rune Aalberg (aaruau);LØSNET DEL PÅ PEEPVENTIL.  SKRUDD TIL UMBRACOSKRUEN TILHØRENDE LØSNET DEL.;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;5-1;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;0,00;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST000400;Normal/Akutt;;001073;Ventilator, intensiv, voksen/barn;E037E-SV 900B;;;;;01.01.1980;01.01.1980;* Originale data (!SYS);1000 TIMERS SERVICE JUSTERT VENTIL FOR GASSBOKS,DEFEKT GLASS LUFTVEGSTRYKK;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;5-1;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;0,00;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST000401;Normal/Akutt;;001073;Ventilator, intensiv, voksen/barn;E037E-SV 900B;;;;;01.01.1980;01.01.1980;* Originale data (!SYS);"FEIL VED MÅLING AV LUFTVEGSTRYKKET. SKIFTET FORSTERKERKORT FOR              
TRYKK-TRANSDUCER";"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;5-1;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;0,00;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST000402;Normal/Akutt;;001073;Ventilator, intensiv, voksen/barn;E037E-SV 900B;;;;;21.11.1990;21.11.1990;* Originale data (!SYS);"LEKKET N20 INNE VED SIKKERHETSVENTIL INNE I HUSET.  BYGGET INN LUKKET         
SIKKERHETSVENTIL OG EVAC.UNIT FOR N20-EVACUATION. SIKKERHETS OG               
FUNKSJONSTESTET FUNNET OK.";"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;5-1;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;4,00;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST000403;Normal/Akutt;;001073;Ventilator, intensiv, voksen/barn;E037E-SV 900B;;;;;12.01.1995;12.01.1995;Rune Aalberg (aaruau);"AVD.: DOBBEL ISOFLURAN- OG HALV N2O-KONSENTRASJON I FØLGE ULTIMA. TESTET OG   
FUNNET I ORDEN.";"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;5-1;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;740,00;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST000404;Normal/Akutt;;001073;Ventilator, intensiv, voksen/barn;E037E-SV 900B;;;;;16.04.1991;16.04.1991;* Originale data (!SYS);"STOPPET SPONTANT I LUKKET STILLING UNDER BRUK, DETTE SKJEDDE 2 GANGER. BYTTET 
STEPMOTOR, DA DENNE IFLG. SIEMENS KUNNE HA PROBLEMER MED Å DETEKTERE          
ENDESTILLINGER OG DA OPPFØRE SEG SOM BESKREVET. KJØRT VENTILATOREN OVER       
LENGRE TID UTEN Å FÅ FREM FEILEN. JUSTERT OPP VENTILATOREN, SIKKERHETS OG     
FUNKSJONSTESTET FUNNET OK. SKADEMELDING GITT STEM, V NILSSON, 100491.";"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;5-1;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;0,00;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
